"","Year","Warhead","Number","Yield"
"165",1977,"AGM-129 (W80-1)",NA,"10-1,200Kt"
"166",1978,"B61-7/-11, B83-1",NA,"5-150Kt (Variable Yield)"
"167",1978,"AGM-28B (W28)",NA,"70-1,450Kt"
"168",1978,"AGM-69A (W69)",1140,"170-200Kt"
"169",1978,"AGM-86B (W80-1)",NA,"5-150Kt (Variable Yield)"
"170",1978,"AGM-129 (W80-1)",NA,"10-1,200Kt"
"171",1979,"B61-7/-11, B83-1",NA,"5-150Kt (Variable Yield)"
"172",1979,"AGM-28B (W28)",NA,"70-1,450Kt"
"173",1979,"AGM-69A (W69)",1140,"170-200Kt"
"174",1979,"AGM-86B (W80-1)",NA,"5-150Kt (Variable Yield)"
"175",1979,"AGM-129 (W80-1)",NA,"10-1,200Kt"
"176",1980,"B61-7/-11, B83-1",NA,"5-150Kt (Variable Yield)"
"177",1980,"AGM-28B (W28)",NA,"70-1,450Kt"
"178",1980,"AGM-69A (W69)",1140,"170-200Kt"
"179",1980,"AGM-86B (W80-1)",NA,"5-150Kt (Variable Yield)"
"180",1980,"AGM-129 (W80-1)",NA,"10-1,200Kt"
"181",1981,"B61-7/-11, B83-1",NA,"5-150Kt (Variable Yield)"
"182",1981,"AGM-28B (W28)",NA,"70-1,450Kt"
"183",1981,"AGM-69A (W69)",1140,"170-200Kt"
"184",1981,"AGM-86B (W80-1)",NA,"5-150Kt (Variable Yield)"
"185",1981,"AGM-129 (W80-1)",NA,"10-1,200Kt"
"186",1982,"B61-7/-11, B83-1",NA,"5-150Kt (Variable Yield)"
"187",1982,"AGM-28B (W28)",NA,"70-1,450Kt"
"188",1982,"AGM-69A (W69)",1140,"170-200Kt"
"189",1982,"AGM-86B (W80-1)",192,"5-150Kt (Variable Yield)"
"190",1982,"AGM-129 (W80-1)",NA,"10-1,200Kt"
"191",1983,"B61-7/-11, B83-1",NA,"5-150Kt (Variable Yield)"
"192",1983,"AGM-28B (W28)",NA,"70-1,450Kt"
"193",1983,"AGM-69A (W69)",1140,"170-200Kt"
"194",1983,"AGM-86B (W80-1)",576,"5-150Kt (Variable Yield)"
"195",1983,"AGM-129 (W80-1)",NA,"10-1,200Kt"
"196",1984,"B61-7/-11, B83-1",NA,"5-150Kt (Variable Yield)"
"197",1984,"AGM-28B (W28)",NA,"70-1,450Kt"
"198",1984,"AGM-69A (W69)",1140,"170-200Kt"
"199",1984,"AGM-86B (W80-1)",900,"5-150Kt (Variable Yield)"
"200",1984,"AGM-129 (W80-1)",NA,"10-1,200Kt"
"201",1985,"B61-7/-11, B83-1",NA,"5-150Kt (Variable Yield)"
"202",1985,"AGM-28B (W28)",NA,"70-1,450Kt"
"203",1985,"AGM-69A (W69)",1140,"170-200Kt"
"204",1985,"AGM-86B (W80-1)",1160,"5-150Kt (Variable Yield)"
"205",1985,"AGM-129 (W80-1)",NA,"10-1,200Kt"
"206",1986,"B61-7/-11, B83-1",NA,"5-150Kt (Variable Yield)"
"207",1986,"AGM-28B (W28)",NA,"70-1,450Kt"
"208",1986,"AGM-69A (W69)",1140,"170-200Kt"
"209",1986,"AGM-86B (W80-1)",1525,"5-150Kt (Variable Yield)"
"210",1986,"AGM-129 (W80-1)",NA,"10-1,200Kt"
